serial_number,model,date,failure_probability,actual_failure_7d
ZCH07JPJ,ST12000NM0007,2020-06-30,0.9810445,0
ZCH06N2Y,ST12000NM0007,2020-06-30,0.98102945,0
ZA21AYQB,ST10000NM0086,2020-06-30,0.9807649,0
ZA2186LB,ST10000NM0086,2020-06-30,0.98065406,0
ZJV5L9W1,ST12000NM0007,2020-06-30,0.98054457,0
ZA16DRJA,ST8000NM0055,2020-06-30,0.9804105,0
S301PQ2V,ST4000DM000,2020-05-10,0.9803683,1
WD-WX31A35H8J6A,WDC WD5000LPVX,2020-06-30,0.9802843,0
ZCH0CMYW,ST12000NM0007,2020-06-30,0.98027396,0
ZCH0AJ5G,ST12000NM0007,2020-06-30,0.9802264,0
ZDEAAPFF,ST500LM030,2020-06-30,0.980191,0
175PP3JET,TOSHIBA MQ01ABF050M,2020-06-30,0.9801608,0
ZCH0B6EL,ST12000NM0007,2020-06-30,0.9801539,0
ZA180YZK,ST8000NM0055,2020-06-30,0.98015267,0
ZCH0CASR,ST12000NM0007,2020-06-30,0.98006713,0
Z305JGLQ,ST4000DM000,2020-06-30,0.97998583,0
87DFWOGRT,TOSHIBA MQ01ABF050,2020-06-30,0.9799462,0
ZCH0AEB4,ST12000NM0007,2020-06-30,0.97990215,0
ZA16Y91F,ST8000NM0055,2020-06-30,0.9798606,0
ZCH0CYWK,ST12000NM0007,2020-06-30,0.9798251,0
ZA13B430,ST8000DM002,2020-06-30,0.9797301,0
ZA181038,ST8000NM0055,2020-06-15,0.97970563,1
ZJV09Y7X,ST12000NM0007,2020-05-07,0.97970027,1
ZJV0Y5PR,ST12000NM0007,2020-06-30,0.97963697,0
ZCH07XK9,ST12000NM0007,2020-06-30,0.9795799,0
ZCH056LN,ST12000NM0007,2020-05-06,0.9794503,0
ZA21FCAD,ST10000NM0086,2020-06-30,0.97940654,0
ZJV0WFEP,ST12000NM0007,2020-05-13,0.97934943,1
ZJV0WFMW,ST12000NM0007,2020-06-30,0.97927696,0
ZCH0CLM7,ST12000NM0007,2020-06-30,0.9792142,0
57GGPD96T,TOSHIBA MQ01ABF050,2020-06-30,0.9791309,0
ZCH07Z0G,ST12000NM0007,2020-06-30,0.9791014,0
ZCH0C86D,ST12000NM0007,2020-06-30,0.97899926,0
ZA1818MN,ST8000NM0055,2020-06-30,0.97886527,0
S2ZYJ9KG828990,ST500LM012 HN,2020-06-30,0.97880256,0
57HDTBTST,TOSHIBA MQ01ABF050,2020-06-30,0.97863674,0
ZCH06EA5,ST12000NM0007,2020-06-30,0.9785252,0
ZCH07THX,ST12000NM0007,2020-06-30,0.9785135,0
ZJV0CH70,ST12000NM0007,2020-06-30,0.97844017,0
